,fap,ifar,stat,snr,timeslide_value,H1_snr,H1_start_time,H1_trigger_time,H1_template_duration,H1_trigger_id,L1_snr,L1_start_time,L1_trigger_time,L1_template_duration,L1_trigger_id,mass_1,mass_2,mass_total,mass_chirp,mass_ratio,spin1z,spin2z,f_lower,template_id,injection_mass_1,injection_mass_2,injection_geocent_time,injection_chi_1,injection_chi_2,injection_luminosity_distance,injection_theta_jn,injection_psi,injection_phase,injection_ra,injection_dec
0,2.4615503e-07,52297.207,10.633074,12.950527944981632,0.0,6.4098754,1241739186.5083008,1241739188.5083008,0.41367126,10127287,11.252985,1241739186.5014648,1241739188.5014648,0.41367126,11421479,38.429115,27.877979999999997,66.3071,28.421108114202642,0.7254390000000001,-0.06924021,-0.06924021,24.8,24257,33.623390197753906,38.39516830444336,1241739188.514831,0.16195380687713626,0.397419810295105,1293.553955078125,1.068930983543396,0.6694290041923523,3.388108015060425,2.5907530784606934,0.03842559829354286
13,2.4615503e-07,52297.207,25.583345,43.51124782615888,0.0,18.776754,1241742476.6035154,1241742478.6035154,0.39359,1660775,39.25127,1241742476.6108398,1241742478.6108398,0.39359,1873001,50.472603,23.768964999999998,74.24157,29.737890257346354,0.47092804,0.07818202,0.07818202,24.7,28221,57.97774124145508,20.65641975402832,1241742478.5943394,0.30020999908447266,0.6833171248435974,355.3197021484375,0.44433438777923584,1.3529820442199707,5.515297889709473,0.4629276990890503,-0.2873201072216034
16,0.40617117,0.024700897000000003,8.293991,8.877678779430955,0.0,5.2883716,1241743471.4399414,1241743473.4399414,0.3854232,10192009,7.130659599999999,1241743471.4414062,1241743473.4414062,0.3854232,11495067,66.49615,23.132992,89.62913499999999,33.24506044965087,0.34788468,0.5332888000000001,0.5332888000000001,25.1,24124,37.72224044799805,36.63166046142578,1241743473.4152613,0.9780851006507874,0.3256925940513611,4786.89208984375,2.698462009429932,1.2639280557632446,5.350193977355957,5.902184009552003,-0.8507441878318787
19,0.19439447,0.059553842999999995,8.402517999999999,9.799891548483648,0.0,6.1264734,1241744383.0410154,1241744385.0410154,0.22377725,13979449,7.648803699999999,1241744383.0395508,1241744385.0395508,0.22377725,15770067,129.79343,7.167147,136.96057,22.58605068799467,0.055219647000000004,-0.26688746,-0.26688746,21.7,130503,82.60064697265625,143.8607940673828,1241744385.0329914,0.471055805683136,0.18774199485778809,991.0482788085938,1.79127299785614,5.149991035461426,0.3664036095142365,1.927590012550354,-0.32870379090309143
27,2.4615503e-07,52297.207,13.207702,25.74836611480808,0.0,15.910954,1241746082.746582,1241746084.746582,0.20696762,3319931,20.244009,1241746082.7529294,1241746084.7529294,0.20696762,3744949,58.757194999999996,27.544195000000002,86.30139,34.53433719964086,0.46877995,-0.50800395,-0.50800395,24.4,24509,63.16521835327149,14.48606014251709,1241746084.7514296,0.9916017055511476,0.4560036063194275,144.39669799804688,1.6231590509414673,1.3555500507354736,3.4711720943450928,5.881235122680664,1.1029150485992432
36,0.041955933,0.30034465,8.592439,9.013945221072198,0.0,5.6694074,1241749280.234375,1241749282.234375,0.37029544,12597156,7.0077834,1241749280.2368164,1241749282.2368164,0.37029544,14208324,116.90215,16.125929,133.02808000000002,34.70720844270221,0.13794382,0.6092343000000001,0.6092343000000001,24.1,46876,145.36639404296875,14.495479583740234,1241749282.208874,0.70516437292099,0.9693046808242798,2332.64306640625,0.8558506965637207,2.2297289371490483,3.4068350791931152,6.004343032836914,-0.5075914859771729
39,0.0022185922,5.795989,8.935002,11.137443257699791,0.0,6.0543184000000005,1241749689.9995115,1241749691.9995115,0.38508546,2889765,9.348148,1241749690.0073242,1241749692.0073242,0.38508546,3260075,54.39479,19.3241,73.71889,27.509215112803933,0.35525647,-0.25012577,-0.25012577,24.1,27909,33.773021697998054,35.33068084716797,1241749692.0001395,0.17594359815120694,0.6289801001548767,567.6558227539062,2.273880958557129,0.6219152212142944,0.6651030778884888,1.1380189657211304,0.11861799657344818
54,2.4615503e-07,52297.207,15.554547,27.88806129615987,0.0,26.309887,1241756073.392578,1241756075.392578,0.25420806,2890406,9.248449,1241756073.383789,1241756075.383789,0.25420806,3261191,82.62429,29.627641999999998,112.25193,41.99950103941833,0.35858270000000003,0.4694342000000001,0.4694342000000001,25.0,27451,25.142269134521484,77.9021224975586,1241756075.3751464,0.15301580727100372,0.3473598957061768,327.9403076171875,2.2584919929504395,0.6730381846427917,4.956599235534668,5.0199551582336435,-0.3653191030025482
58,0.20945215,0.054772887,8.391963,9.856118348058493,0.0,7.0784554,1241757477.1694336,1241757479.1694336,0.30846867,9591431,6.8584647,1241757477.173828,1241757479.173828,0.30846867,10817300,105.69304,4.328049,110.02108999999999,15.413737420197272,0.040949237,-0.71215314,-0.71215314,21.1,134721,63.15616989135742,89.67938995361328,1241757479.184934,0.12756450474262238,0.8384004235267639,2571.14599609375,2.0517559051513667,5.3225979804992685,2.106874942779541,3.4794180393218994,1.3585989475250244
61,4.9231e-07,26148.604,10.251863499999999,13.835166461166793,0.0,7.7444243,1241757788.3544922,1241757790.3544922,0.30038202,5571041,11.464542,1241757788.3583984,1241757790.3583984,0.30038202,6286033,43.855595,22.53775,66.39334000000001,27.073002896471248,0.5139082,-0.90763927,-0.90763927,24.0,27072,15.097049713134766,52.44527816772461,1241757790.340615,0.5352265238761902,0.899906575679779,680.5811157226562,0.7464178204536438,1.0255260467529297,3.0473690032958984,0.2628200948238373,0.15994100272655487
65,2.4615503e-07,52297.207,20.248028,31.96800209336256,0.0,24.261993,1241758178.1816404,1241758180.1816404,0.32761186,6887956,20.816072,1241758178.1879885,1241758180.1879885,0.32761186,7769753,60.029755,30.143496999999996,90.17325,36.603328453463696,0.5021426,0.5457896,0.5457896,25.5,24209,45.79162979125977,51.512939453125,1241758180.1853352,0.6246479153633118,0.7206987142562866,530.0596923828125,1.2145789861679075,0.7302883863449097,1.7292710542678833,2.3137969970703125,0.08163073658943176
70,9.846198000000001e-07,13074.302,9.98777,16.09428485424966,0.0,8.691923,1241759890.8041992,1241759892.8041992,0.15186918,8729233,13.545349,1241759890.807129,1241759892.807129,0.15186918,9847705,96.17069000000001,14.063579999999998,110.23427,29.527035268304548,0.1462356,-0.64161783,-0.64161783,22.9,97393,42.0955696105957,79.60291290283203,1241759892.7940555,0.792439877986908,0.7575920820236206,769.8292846679688,1.640336990356445,3.671083927154541,1.759753942489624,0.14753949642181394,0.22011299431324005
77,2.4615503e-07,52297.207,18.206478,37.35706483277218,0.0,18.201862,1241762567.8754885,1241762569.8754885,0.21547322,16139715,32.62273,1241762567.8813474,1241762569.8813474,0.21547322,18204418,65.44114,44.5822,110.02333999999999,46.8500910482796,0.6812564999999999,0.47684535,0.47684535,25.6,24328,48.18487930297852,51.05667114257813,1241762569.8560386,0.011512829922139643,0.4669592082500458,849.6983032226562,0.5560566186904907,4.134998798370361,0.2914484143257141,0.7538210153579712,0.20211920142173767
78,0.99844927,0.001989974,7.973748,7.593126775220404,0.0,5.194485,1241762682.5976562,1241762684.5976562,0.16264963,5505761,5.538312,1241762682.5961914,1241762684.5961914,0.16264963,6211996,63.205740000000006,45.725563,108.93130500000001,46.67870681556573,0.72344,-0.01178542,-0.01178542,25.2,24434,33.954280853271484,60.427711486816406,1241762684.572075,0.7496271133422852,0.9535930752754213,2161.931884765625,2.0362319946289062,5.984012126922607,2.636315107345581,0.9939755201339722,-0.94622802734375
79,0.00010559495,121.90491499999999,9.291249,11.370402790145842,0.0,7.6684756,1241762967.5234375,1241762969.5234375,0.23791543,14442293,8.395269,1241762967.5317385,1241762969.5317385,0.23791543,16291733,51.465607,41.442642,92.90825,40.15761067424804,0.8052493000000001,0.1589026,0.1589026,25.2,24361,33.26190948486328,37.62133026123047,1241762969.5278885,0.1907314956188202,0.7792419791221619,1742.14697265625,2.781168937683105,1.8845490217208865,4.282839775085448,1.4986189603805542,1.0173959732055664
91,1.0,6.3970874e-06,7.0072556,7.0912396560538165,0.0,4.6303225,1241765569.9257812,1241765571.9257812,0.15046893,12329612,5.3708279999999995,1241765569.9277346,1241765571.9277346,0.15046893,13905173,121.51348999999999,43.147594,164.66109,61.437064021110814,0.3550848,0.50771654,0.50771654,24.9,30482,24.21747970581055,138.63859558105472,1241765571.9273148,0.13959430158138275,0.2600131034851074,2957.844970703125,1.014312982559204,1.904829025268555,3.55118989944458,3.3169078826904297,0.3242988884449005
94,1.0,1.584745e-05,7.212689,7.687892115856635,0.0,5.5750575,1241766981.2910154,1241766983.2910154,0.18722244,12177525,5.2936206,1241766981.2983398,1241766983.2983398,0.18722244,13733539,145.9325,51.054077,196.98657,73.18501030949672,0.34984723,0.93660194,0.93660194,25.8,24398,10.39426040649414,104.9645004272461,1241766983.287365,0.8857849240303041,0.13343720138072968,1210.6080322265625,1.2158770561218262,5.609387874603272,6.272028923034668,3.592972993850708,1.0895199775695799
95,2.4615503e-07,52297.207,17.44652,46.038835124771666,0.0,37.75439,1241767179.581543,1241767181.581543,0.15180303,14785230,26.347303000000004,1241767179.5913086,1241767181.5913086,0.15180303,16677570,102.97341999999999,35.179363,138.15278999999998,50.97250035335218,0.34163538,0.20143563,0.20143563,24.6,24567,97.1165771484375,63.39910888671875,1241767181.582459,0.2702440023422241,0.5803372859954834,368.781005859375,1.6119519472122192,4.219213008880615,4.40669584274292,2.0491130352020264,0.928219199180603
103,2.4615503e-07,52297.207,12.772283999999999,31.896132358643673,0.0,20.838154,1241769282.395996,1241769284.395996,0.24933946,11039947,24.14818,1241769282.3891602,1241769284.3891602,0.24933946,12450873,88.011894,10.579202,98.591095,24.133983996571136,0.12020195,-0.62715274,-0.62715274,22.4,97394,74.92420196533203,53.6290397644043,1241769284.384609,0.8942456841468811,0.7062209844589233,413.53448486328125,1.3101589679718018,6.183006763458253,2.351094961166382,4.680624008178711,-1.0830930471420288
119,0.97129124,0.0036256956,8.051881,7.885653903695366,0.0,5.0577736,1241772872.6293945,1241772874.6293945,0.39359,1660813,6.049997,1241772872.6313474,1241772874.6313474,0.39359,1872683,50.472603,23.768964999999998,74.24157,29.737890257346354,0.47092804,0.07818202,0.07818202,24.7,28221,29.480579376220703,33.21012115478516,1241772874.6318054,0.2485923022031784,0.3798008859157562,1481.510009765625,0.7887312769889832,0.4462285041809082,1.6636539697647097,3.780735969543457,-0.39163899421691895
128,2.4615503e-07,52297.207,10.070714,15.802154471239515,0.0,7.6572914,1241776281.6362305,1241776283.6362305,0.23634120000000003,6360730,13.822951000000002,1241776281.6323242,1241776283.6323242,0.23634120000000003,7175594,130.11755,15.559311,145.67686,35.57276572352304,0.119578876,0.23161554,0.23161554,23.1,60806,143.93569946289062,18.307369232177734,1241776283.639992,0.24182699620723724,0.6057916283607483,1095.7869873046877,2.397994041442871,1.3295680284500122,1.5990279912948608,5.715855121612549,0.7827935814857483
132,2.4615503e-07,52297.207,11.597482000000001,15.9441095003568,0.0,12.460682,1241777970.28125,1241777972.28125,0.23680045,13972177,9.947161999999999,1241777970.2739258,1241777972.2739258,0.23680045,15761252,79.71831999999999,30.002990000000004,109.72131,41.60786394668561,0.37636253,0.33166462,0.33166462,24.9,24436,65.55605316162111,42.54410171508789,1241777972.2572525,0.8455520868301392,0.9438117742538452,1109.5489501953123,1.543323993682861,4.406846046447754,1.149062991142273,0.5153481960296631,-0.8036214709281921
