,fap,ifar,stat,snr,timeslide_value,L1_snr,L1_start_time,L1_trigger_time,L1_template_duration,L1_trigger_id,H1_snr,H1_start_time,H1_trigger_time,H1_template_duration,H1_trigger_id,mass_1,mass_2,mass_total,mass_chirp,mass_ratio,spin1z,spin2z,f_lower,template_id,injection_mass_1,injection_mass_2,injection_geocent_time,injection_chi_1,injection_chi_2,injection_luminosity_distance,injection_theta_jn,injection_psi,injection_phase,injection_ra,injection_dec
0,2.4615503e-07,52297.207,10.633074,12.950528,0.0,11.252985,1241739186.5014648,1241739188.5014648,0.41367126,11421479,6.4098754,1241739186.5083008,1241739188.5083008,0.41367126,10127287,38.429115,27.87798,66.3071,28.42110811420264,0.725439,-0.06924021,-0.06924021,24.8,24257,33.623390197753906,38.39516830444336,1241739188.514831,0.16195380687713623,0.397419810295105,1293.553955078125,1.068930983543396,0.6694290041923523,3.388108015060425,2.5907530784606934,0.03842559829354286
1,2.4615503e-07,52297.207,15.909007,19.09897,0.0,16.351122,1241739377.2143555,1241739379.2143555,4.266417,2689261,9.869725,1241739377.2104492,1241739379.2104492,4.266417,2384693,36.245434,2.8576,39.103035,7.775185344442837,0.07884028,-0.2066092,-0.2066092,23.2,51317,25.275489807128906,3.5844929218292236,1241739379.200729,0.7787796854972839,0.46974068880081177,135.51820373535156,2.2059080600738525,2.5708370208740234,4.873626232147217,5.118013858795166,0.3395397961139679
2,2.4615503e-07,52297.207,12.552353,13.974002,0.0,11.232603,1241739472.0429688,1241739474.0429688,1.9127871,17476195,8.312723,1241739472.0424805,1241739474.0424805,1.9127871,15491929,39.25156,6.599206,45.850765,13.053886887270584,0.16812596,0.5317873,0.5317873,24.7,38180,3.987320899963379,99.35954284667969,1241739474.0487137,0.8089479804039001,0.8930947184562683,711.719482421875,0.32027721405029297,0.16416390240192413,3.4338719844818115,1.653244972229004,-0.1750144064426422
3,0.95511764,0.0041476884,8.069376,8.883585,0.0,5.838466,1241739578.1582031,1241739580.1582031,1.4165491,4966864,6.69555,1241739578.1572266,1241739580.1572266,1.4165491,4402290,104.20125,3.0096018,107.21085,12.353255682119237,0.02888259,0.023614705,0.023614705,21.3,76255,145.44039916992188,2.8744618892669678,1241739580.15444,0.3783133924007416,0.9501028060913086,117.50080108642578,1.4412809610366821,4.05072021484375,3.745466947555542,4.90553092956543,1.0956259965896606
4,2.4615503e-07,52297.207,30.079102,38.698128,0.0,33.758503,1241739688.0786133,1241739690.0786133,1.1977038,3229112,18.918476,1241739688.0776367,1241739690.0776367,1.1977038,2862285,22.297329,15.735927,38.033257,16.2575237596185,0.70573145,-0.12581068,-0.12581068,24.6,29471,15.481579780578613,23.3446102142334,1241739690.066249,0.3571973145008087,0.11147700250148773,242.44900512695312,2.645082950592041,4.144496917724609,1.1739610433578491,4.8232421875,0.3229183852672577
5,2.4615503e-07,52297.207,49.746796,62.384243,0.0,51.00217,1241739772.2304688,1241739774.2304688,4.775924,1239418,35.92454,1241739772.2304688,1241739774.2304688,4.775924,1098398,14.737537,5.139573,19.87711,7.378031920340295,0.34874028,-0.07023702,-0.07023702,24.7,18722,7.158905982971191,10.071490287780762,1241739774.2145596,0.2058124989271164,0.35527539253234863,62.8625602722168,1.1367729902267456,4.755421161651611,3.782831907272339,4.856235027313232,-0.06158649921417236
6,1.0,9.77808e-07,5.656854,6.6334014,0.0,4.7090178,1241739870.5864258,1241739872.5864258,3.3444676,18337402,4.671955,1241739870.586914,1241739872.586914,3.3444676,16256902,16.977106,6.990598,23.967705,9.304681559954963,0.41176617,0.9925362,0.9925362,25.7,19295,55.98107147216797,37.024391174316406,1241739873.4554312,0.43629008531570435,0.48977240920066833,5744.0927734375,1.8016510009765625,0.5033226013183594,1.5807050466537476,0.5456441044807434,0.060947831720113754
7,1.0,2.0974887e-06,6.542561,7.251554,0.0,5.136046,1241740168.6035156,1241740170.6035156,3.1168504,8595037,5.1191864,1241740168.6132812,1241740170.6132812,3.1168504,7618180,14.367656,8.667576,23.035233,9.65365161640072,0.60327,0.8360103,0.8360103,25.6,18820,109.94390106201172,4.525423049926758,1241740169.3305953,0.25483718514442444,0.18359950184822083,2000.845947265625,0.8122066259384155,0.06289160251617432,2.1755740642547607,2.7712180614471436,1.0768400430679321
8,0.12925456,0.09301084,8.454914,8.857904,0.0,6.285123,1241740375.770996,1241740377.770996,1.0131863,13537415,6.241771,1241740375.7783203,1241740377.7783203,1.0131863,12002266,52.10451,9.785826,61.890335,18.456915030965337,0.1878115,0.32743052,0.32743052,24.2,38921,9.720980644226074,50.12118911743164,1241740377.7598314,0.973585307598114,0.43380820751190186,883.0159301757812,1.14479398727417,5.283510208129883,5.664694786071777,3.9808120727539062,-0.9559047818183899
9,0.32510903,0.032739285,8.328263,8.819059,0.0,6.9215603,1241740475.5756836,1241740477.5756836,2.2093484,3622376,5.4651446,1241740475.5830078,1241740477.5830078,2.2093484,3211015,22.269827,7.4617066,29.731533,10.906603999073836,0.33505905,-0.9802346,-0.9802346,23.5,31259,61.39432907104492,3.532067060470581,1241740477.5796742,0.2547106146812439,0.4271177053451538,650.6895141601562,0.4997398853302002,1.9669549465179443,1.7332919836044312,2.662060022354126,-0.6192675828933716
